period_date,inbound_call_volume,ms_inbound_call,diff_vol,diff_perc
4/1/2018,143,190,-47,-0.247368
4/2/2018,1561,1950,-389,-0.199487
4/3/2018,1380,1710,-330,-0.192982
4/4/2018,1196,1538,-342,-0.222367
4/5/2018,1154,1423,-269,-0.189037
4/6/2018,1118,1391,-273,-0.196262
4/7/2018,483,637,-154,-0.241758
4/8/2018,199,277,-78,-0.281588
4/9/2018,1400,1753,-353,-0.201369
4/10/2018,1199,1477,-278,-0.188219
4/11/2018,1047,1341,-294,-0.219239
4/12/2018,1047,1307,-260,-0.198929
4/13/2018,1088,1367,-279,-0.204097
4/14/2018,402,539,-137,-0.254174
4/15/2018,205,277,-72,-0.259928
4/16/2018,1379,1754,-375,-0.213797
4/17/2018,1057,1345,-288,-0.214126
4/18/2018,1157,1425,-268,-0.18807
4/19/2018,1120,1385,-265,-0.191336
4/20/2018,1047,1296,-249,-0.19213
4/21/2018,421,545,-124,-0.227523
4/22/2018,169,214,-45,-0.21028
4/23/2018,1323,1635,-312,-0.190826
4/24/2018,1192,1505,-313,-0.207973
4/25/2018,667,918,-251,-0.27342
4/26/2018,486,764,-278,-0.363874
4/27/2018,486,706,-220,-0.311615
4/28/2018,190,312,-122,-0.391026
4/29/2018,77,155,-78,-0.503226
4/30/2018,659,992,-333,-0.335685
